,search_topic,page_num,image_url,image_title,image_author,image_favs,image_com,image_views,private_collections,tags,location,description,image_px,image_size,published_date,last_comment
0,Fantasy art,0,"https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/f/e090c796-b870-437e-93ec-bc3ea196a4d9/dciirjp-22b2f65b-b9f5-4cd9-8fcb-4fac2e2b8125.jpg/v1/fill/w_1600,h_864,q_75,strp/the_magocracy_of_helinde_by_ferdinandladera_dciirjp-fullview.jpg?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ1cm46YXBwOjdlMGQxODg5ODIyNjQzNzNhNWYwZDQxNWVhMGQyNmUwIiwiaXNzIjoidXJuOmFwcDo3ZTBkMTg4OTgyMjY0MzczYTVmMGQ0MTVlYTBkMjZlMCIsIm9iaiI6W1t7ImhlaWdodCI6Ijw9ODY0IiwicGF0aCI6IlwvZlwvZTA5MGM3OTYtYjg3MC00MzdlLTkzZWMtYmMzZWExOTZhNGQ5XC9kY2lpcmpwLTIyYjJmNjViLWI5ZjUtNGNkOS04ZmNiLTRmYWMyZTJiODEyNS5qcGciLCJ3aWR0aCI6Ijw9MTYwMCJ9XV0sImF1ZCI6WyJ1cm46c2VydmljZTppbWFnZS5vcGVyYXRpb25zIl19.PREfvF-2EEBrsKMB2wz97Tr7MMYq8zCMAFv1MMLmwzw",The Magocracy of Helinde,FerdinandLadera,1100,28,13800,0,[],,"Fantasy landscape, personal art.",5000x2700,11.77,2018-07-28T15:29:09.000Z,
1,Fantasy art,0,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/f/6ff2ccfb-d302-4348-87bc-8b9568748e63/dcnwg4y-ce471868-2bc2-47b0-be49-a62813301b2f.jpg?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ1cm46YXBwOjdlMGQxODg5ODIyNjQzNzNhNWYwZDQxNWVhMGQyNmUwIiwiaXNzIjoidXJuOmFwcDo3ZTBkMTg4OTgyMjY0MzczYTVmMGQ0MTVlYTBkMjZlMCIsIm9iaiI6W1t7InBhdGgiOiJcL2ZcLzZmZjJjY2ZiLWQzMDItNDM0OC04N2JjLThiOTU2ODc0OGU2M1wvZGNud2c0eS1jZTQ3MTg2OC0yYmMyLTQ3YjAtYmU0OS1hNjI4MTMzMDFiMmYuanBnIn1dXSwiYXVkIjpbInVybjpzZXJ2aWNlOmZpbGUuZG93bmxvYWQiXX0.ZgEaQiU0Qo1DF13A9v_oXyOre68pWV2qRlwNUExOdSA,Forgotten Kingdom I,JJcanvas,3000,42,79900,1,"['castle', 'conceptart', 'elven', 'epic', 'fantasy', 'forgotten', 'hidden', 'highfantasy', 'illustration', 'kingdom', 'landscape', 'palace', 'ruins', 'scenery', 'jorgejacinto', 'jjcanvas', 'art']",,Hey! Here's something new I painted in photoshop! I hope you like it! Cheers! Website - www.jorgejacinto.com Facebook - www.facebook.com/JJcanvasArt Tumblr - jjcanvas.tumblr.com/ Prints - www.inprnt.com/gallery/jjcanva… Youtube - www.youtube.com/blinckart Twitter - twitter.com/JJcanvas,1400x875,1.1,2018-09-27T10:58:40.000Z,😍
2,Fantasy art,0,"https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/f/8776250c-1249-49d1-a447-222e30c352a7/dbjkasq-b90c4a69-802f-4fda-b285-a53cf750a249.jpg/v1/fill/w_1024,h_1381,q_75,strp/solitude_by_piotrdura_dbjkasq-fullview.jpg?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ1cm46YXBwOjdlMGQxODg5ODIyNjQzNzNhNWYwZDQxNWVhMGQyNmUwIiwiaXNzIjoidXJuOmFwcDo3ZTBkMTg4OTgyMjY0MzczYTVmMGQ0MTVlYTBkMjZlMCIsIm9iaiI6W1t7ImhlaWdodCI6Ijw9MTM4MSIsInBhdGgiOiJcL2ZcLzg3NzYyNTBjLTEyNDktNDlkMS1hNDQ3LTIyMmUzMGMzNTJhN1wvZGJqa2FzcS1iOTBjNGE2OS04MDJmLTRmZGEtYjI4NS1hNTNjZjc1MGEyNDkuanBnIiwid2lkdGgiOiI8PTEwMjQifV1dLCJhdWQiOlsidXJuOnNlcnZpY2U6aW1hZ2Uub3BlcmF0aW9ucyJdfQ.DLIeuJg3ORhSr6VyyYsM_D6CjjmbPoaRiSdQHbaObsU",Solitude,PiotrDura,3300,69,55000,0,"['ancient', 'clouds', 'concept', 'environment', 'epic', 'fantasy', 'illustration', 'landscape', 'monumental', 'painting', 'rocks', 'sky', 'sun', 'tree', 'art']",,Personal project,1484x2000,900.75,2017-08-10T16:54:30.000Z,All that I have looked at  just 1 word (Awesome)
3,Fantasy art,0,"https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/f/2f9d63ea-05a6-44f9-a06d-3c3506ace1a6/dc7rp7q-8cde501b-30a5-4c5b-a7c0-e8da6577d000.jpg/v1/fill/w_1600,h_928,q_75,strp/mushy_land_by_raphael_lacoste_dc7rp7q-fullview.jpg?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ1cm46YXBwOjdlMGQxODg5ODIyNjQzNzNhNWYwZDQxNWVhMGQyNmUwIiwiaXNzIjoidXJuOmFwcDo3ZTBkMTg4OTgyMjY0MzczYTVmMGQ0MTVlYTBkMjZlMCIsIm9iaiI6W1t7ImhlaWdodCI6Ijw9OTI4IiwicGF0aCI6IlwvZlwvMmY5ZDYzZWEtMDVhNi00NGY5LWEwNmQtM2MzNTA2YWNlMWE2XC9kYzdycDdxLThjZGU1MDFiLTMwYTUtNGM1Yi1hN2MwLWU4ZGE2NTc3ZDAwMC5qcGciLCJ3aWR0aCI6Ijw9MTYwMCJ9XV0sImF1ZCI6WyJ1cm46c2VydmljZTppbWFnZS5vcGVyYXRpb25zIl19.eFslHR3hiGwNnIsEWI82ZRXAfbrdGHZOHn2nBfRa_Qg",Mushy Land,Raphael-Lacoste,2100,52,69300,0,"['birds', 'conceptart', 'fantasy', 'illustration', 'landscape', 'mattepainting', 'mushrooms', 'photoshop', 'scenery', 'tours', 'tutorial', 'raphaellacoste', 'gumroad', 'art']",,Concept art done for a personal project hope you like ! Done on Cintiq22HD and Photoshop CC. My tutorials are available on Gumroad: gumroad.com/raphaellacoste,1920x1113,594.45,2018-04-03T12:53:41.000Z,Definitely looks like it'll blend in well in Star Wars!
4,Fantasy art,0,"https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/f/3d079e1f-386b-4bd0-84fc-cce9913fbc0c/dezfy9r-17d44ac6-fc58-478f-800f-2cf194acc419.jpg/v1/fill/w_1600,h_860,q_75,strp/the_witch_king_of_angmar_by_anatofinnstark_dezfy9r-fullview.jpg?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ1cm46YXBwOjdlMGQxODg5ODIyNjQzNzNhNWYwZDQxNWVhMGQyNmUwIiwiaXNzIjoidXJuOmFwcDo3ZTBkMTg4OTgyMjY0MzczYTVmMGQ0MTVlYTBkMjZlMCIsIm9iaiI6W1t7ImhlaWdodCI6Ijw9ODYwIiwicGF0aCI6IlwvZlwvM2QwNzllMWYtMzg2Yi00YmQwLTg0ZmMtY2NlOTkxM2ZiYzBjXC9kZXpmeTlyLTE3ZDQ0YWM2LWZjNTgtNDc4Zi04MDBmLTJjZjE5NGFjYzQxOS5qcGciLCJ3aWR0aCI6Ijw9MTYwMCJ9XV0sImF1ZCI6WyJ1cm46c2VydmljZTppbWFnZS5vcGVyYXRpb25zIl19.vtXiHfYqfImQz9U1si6Gp4JBBjIk4XI5RaKxzXZpU2E",The Witch King of Angmar,AnatoFinnstark,2300,39,288300,0,"['fantasy', 'illustration', 'lotr', 'middleearth', 'nazgul', 'art']",,"Limited Print during only 72h from now ! Available here : www.liberdistri.com/fr/affiche… In association with ""Caurette Edition"" and ""Geek-art """,2000x1074,635.07,2022-02-05T09:13:51.000Z,Did much to destroy the already decayed kingdom of Arnor/
5,Fantasy art,0,"https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/f/7665f267-607e-41b3-93d4-d44b75b58e37/dexmkcy-8daa7a57-febe-4b40-bc06-ca2edf4355a4.jpg/v1/fill/w_1280,h_670,q_75,strp/city_of_elves_by_panjoool_dexmkcy-fullview.jpg?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ1cm46YXBwOjdlMGQxODg5ODIyNjQzNzNhNWYwZDQxNWVhMGQyNmUwIiwiaXNzIjoidXJuOmFwcDo3ZTBkMTg4OTgyMjY0MzczYTVmMGQ0MTVlYTBkMjZlMCIsIm9iaiI6W1t7ImhlaWdodCI6Ijw9NjcwIiwicGF0aCI6IlwvZlwvNzY2NWYyNjctNjA3ZS00MWIzLTkzZDQtZDQ0Yjc1YjU4ZTM3XC9kZXhta2N5LThkYWE3YTU3LWZlYmUtNGI0MC1iYzA2LWNhMmVkZjQzNTVhNC5qcGciLCJ3aWR0aCI6Ijw9MTI4MCJ9XV0sImF1ZCI6WyJ1cm46c2VydmljZTppbWFnZS5vcGVyYXRpb25zIl19.F6h5UrGiIOe0ct6XH2EP5g6sB06TI0TQDZa7yq08shM",City of elves,panjoool,1900,58,733800,0,"['blender', 'conceptart', 'digitalart', 'digitalpainting', 'epicfantasy', 'fantasy']",,"inspired by the Elf city in LOTR by J. R. R. Tolkien. EMAIL FOR COMMISSIONS : panjoool@gmail.com Watch Speed Art Timelapse on Youtube : www.youtube.com/watch?v=bskl7k… Made with Blender and Photoshop. __________________________ ............................ Artstaion www.artstation.com/panjoool Instagram www.instagram.com/panjooolart/ Linktree lynkfire.com/Panjoool © 2022 PANJOOOL. All rights reserved. My work doesn't belong to the public domain, don't claim my work as your own. It can not be reproduced, copied, edited, transmitted, plagiarism, sell as NFT or sold without my permission.",3000x1568,4.17,2022-01-06T15:17:21.000Z,Incroyablement jolis
6,Fantasy art,0,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/f/6ff2ccfb-d302-4348-87bc-8b9568748e63/de3zgcj-d9317fe4-ef3e-44c2-9472-846c68968960.jpg?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ1cm46YXBwOjdlMGQxODg5ODIyNjQzNzNhNWYwZDQxNWVhMGQyNmUwIiwiaXNzIjoidXJuOmFwcDo3ZTBkMTg4OTgyMjY0MzczYTVmMGQ0MTVlYTBkMjZlMCIsIm9iaiI6W1t7InBhdGgiOiJcL2ZcLzZmZjJjY2ZiLWQzMDItNDM0OC04N2JjLThiOTU2ODc0OGU2M1wvZGUzemdjai1kOTMxN2ZlNC1lZjNlLTQ0YzItOTQ3Mi04NDZjNjg5Njg5NjAuanBnIn1dXSwiYXVkIjpbInVybjpzZXJ2aWNlOmZpbGUuZG93bmxvYWQiXX0.AXk0MxA4A5bD4rKkWAHiBWpejKwfGZmnwopyzsJaHIw,Cosmic Forest,JJcanvas,5400,129,154500,2,"['cosmic', 'digitalart', 'digitalpainting', 'fantasyillustration', 'fantasylandscape', 'landscape', 'procreate', 'yggdrasil', 'ipadprocreate', 'jjcanvas', 'fantasy', 'fantasyart']",,"CORE MEMBERSHIP GIVEAWAY - I'm giving away 10 core memberships to the first 10 comments on this piece that are nor already a core member here on DA! Hi all! I was recently commissioned by DeviantArt to create a Creative Crate for the CORE Lounge. If you're a CORE member on DA, check it out here corelounge.deviantart.com . There's a high-res PSD, process video, brush pack, steps breakdown, etc. I will also be having an AMA at that link tomorrow at 11am Pacific time. Drop by if you have anything to ask me! This was a ton of fun to create! It was all painted in ProCreate on the Ipad Pro! I hope you like it! Cheers! Website - www.jorgejacinto.com Instagram - www.instagram.com/jjcanvas_art… Youtube - www.youtube.com/blinckart Artstation - www.artstation.com/artist/jjca… Prints - www.inprnt.com/gallery/jjcanva… Twitter - twitter.com/JJcanvas",1920x1080,1.72,2020-08-26T13:18:46.000Z,beautyfull ♡ wanna learn that
7,Fantasy art,0,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/f/6ff2ccfb-d302-4348-87bc-8b9568748e63/dd0osqx-c88ed0e4-91eb-4f57-a19c-c80a05c34038.jpg?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ1cm46YXBwOjdlMGQxODg5ODIyNjQzNzNhNWYwZDQxNWVhMGQyNmUwIiwiaXNzIjoidXJuOmFwcDo3ZTBkMTg4OTgyMjY0MzczYTVmMGQ0MTVlYTBkMjZlMCIsIm9iaiI6W1t7InBhdGgiOiJcL2ZcLzZmZjJjY2ZiLWQzMDItNDM0OC04N2JjLThiOTU2ODc0OGU2M1wvZGQwb3NxeC1jODhlZDBlNC05MWViLTRmNTctYTE5Yy1jODBhMDVjMzQwMzguanBnIn1dXSwiYXVkIjpbInVybjpzZXJ2aWNlOmZpbGUuZG93bmxvYWQiXX0.OseOVaSRfq0mnYLeLscGTRLtWOuOO2ZgVmJMVEKQhjM,Enchanted Lake,JJcanvas,2900,58,45200,0,"['conceptart', 'fantasy', 'fantasyart', 'fantasyillustration', 'fantasylandscape', 'landscape', 'landscapefantasy', 'environmentart', 'jjcanvas', 'landscapepainting']",,Reworked an old piece in ProCreate! Website - www.jorgejacinto.com Instagram - www.instagram.com/jjcanvas_art… Artstation - www.artstation.com/artist/jjca… Facebook - www.facebook.com/JJcanvasArt Twitter - twitter.com/JJcanvas Youtube - www.youtube.com/blinckart Tumblr - jjcanvas.tumblr.com/ Prints - www.inprnt.com/gallery/jjcanva…,1650x928,1.21,2019-02-25T19:09:43.000Z,I love your artwork! Its so beautiful and fuels my soul! I hope you keep creating :D
8,Fantasy art,0,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/f/6ff2ccfb-d302-4348-87bc-8b9568748e63/demdoh9-22902262-2e56-4c27-876f-822d51c9897d.jpg?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ1cm46YXBwOjdlMGQxODg5ODIyNjQzNzNhNWYwZDQxNWVhMGQyNmUwIiwiaXNzIjoidXJuOmFwcDo3ZTBkMTg4OTgyMjY0MzczYTVmMGQ0MTVlYTBkMjZlMCIsIm9iaiI6W1t7InBhdGgiOiJcL2ZcLzZmZjJjY2ZiLWQzMDItNDM0OC04N2JjLThiOTU2ODc0OGU2M1wvZGVtZG9oOS0yMjkwMjI2Mi0yZTU2LTRjMjctODc2Zi04MjJkNTFjOTg5N2QuanBnIn1dXSwiYXVkIjpbInVybjpzZXJ2aWNlOmZpbGUuZG93bmxvYWQiXX0.SNvB9IOLf2ZU7aLMf4-gjPfAVZMYV0smGn4M4NpnGxM,Strange The Dreamer Illustration I,JJcanvas,903,10,94800,0,"['fantasy', 'fantasyart', 'bookillustration', 'fantasyillustration', 'illustration', 'landscape', 'painting', 'bookcoverart', 'coverillustration', 'jjcanvas', 'strangethedreamer']",,"An illustrator for Laini Taylor's Strane the Dreamer book box set made by Litjoy Crate! The compositions were a bit tough to figure out in order to fit all the elements in accordance to the endpage template, but it was a lot of fun to work on this. Mostly painted in Procreate with some touch ups in Photoshop! ___________________________________________________ Website - www.jorgejacinto.com Instagram - www.instagram.com/jjcanvas_art… Twitter - twitter.com/JJcanvas Youtube - www.youtube.com/blinckart Prints - www.inprnt.com/gallery/jjcanva…",1800x1276,1.73,2021-06-29T11:24:08.000Z,Nice!!! Check out my youtube channle: https://www.youtube.com/shorts/8zfg-eFZ8Sw
9,Fantasy art,0,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/f/52f0202a-f084-4764-9689-5c78c0e9a0d0/df3ir2a-49e1a9b3-dd2c-4bed-ba76-04fe12de304a.png?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ1cm46YXBwOjdlMGQxODg5ODIyNjQzNzNhNWYwZDQxNWVhMGQyNmUwIiwiaXNzIjoidXJuOmFwcDo3ZTBkMTg4OTgyMjY0MzczYTVmMGQ0MTVlYTBkMjZlMCIsIm9iaiI6W1t7InBhdGgiOiJcL2ZcLzUyZjAyMDJhLWYwODQtNDc2NC05Njg5LTVjNzhjMGU5YTBkMFwvZGYzaXIyYS00OWUxYTliMy1kZDJjLTRiZWQtYmE3Ni0wNGZlMTJkZTMwNGEucG5nIn1dXSwiYXVkIjpbInVybjpzZXJ2aWNlOmZpbGUuZG93bmxvYWQiXX0.GNwxE96qL9yuR7-Ns9mEWSYVyG_szSGtdsn6-dKVwCg,My town,maxasabin,1200,32,649500,0,"['conceptart', 'digitalart', 'environment', 'fantasy', 'fantasyart', 'fantasylandscape', 'female', 'landscape', 'landscapescenery', 'photoediting', 'photomanipulation', 'photoshop', 'conceptartist', 'photobashing', 'cityscape', 'steampunk']",,"Making of PSD file is available on my Patreon Digital art done in a mixed style, using 3D, photomanipulation and hand drawing. 3D base made entirely from scratch in Blender All stock photos are taken from Unsplash",1920x1080,2.38,2022-04-13T21:32:57.000Z,
